66.5	66.4	70.4	67.0	67.7	65.7	67.6	68.7	68.7	66.8	68.2	69.1	69.0
68.1	68.5	66.5	70.2	69.2	66.4	67.2	67.4	66.1	63.6	68.3	65.9	65.9
66.5	68.2	68.2	67.4	67.8	68.6	67.5	68.7	67.3	68.7	70.4	69.6	65.2
65.8	66.5	69.4	68.2	67.1	71.6	70.2	66.6	65.2	66.6	69.1	66.8	70.2
64.3	67.8	68.9	66.6	93.4	88.1	75.6	67.8	68.3	66.9	68.3	69.1	65.4
69.6	69.5	67.0	95.1	93.1	87.8	73.0	68.8	66.5	65.8	66.8	66.7	66.4
69.3	68.6	94.4	93.9	93.0	87.1	75.2	68.9	65.0	68.7	68.5	65.6	66.8
67.7	94.2	93.5	92.9	90.3	87.8	75.1	68.9	66.8	65.5	68.3	67.0	68.9
94.0	94.3	94.2	94.9	90.8	87.0	75.6	68.0	64.4	69.2	67.4	66.6	68.2
93.2	94.9	93.2	91.0	88.1	87.1	75.8	67.9	68.6	68.8	66.2	69.5	69.0
94.0	95.2	94.0	92.1	86.1	86.0	74.6	68.1	67.9	66.8	68.8	68.1	67.2
94.5	93.4	93.2	88.5	88.2	85.1	74.8	64.9	68.5	65.0	69.1	68.0	65.2
94.1	93.5	92.9	90.1	87.1	87.7	74.6	67.7	67.2	68.4	68.5	65.9	67.6
